year	population	rate
2021	18803000	-0.01
2020	18804000	-0.01
2019	18805000	-0.07
2018	18819000	0.30
2017	18762000	0.30
2016	18705000	0.31
2015	18648000	0.31
2014	18591000	0.31
2013	18534000	0.30
2012	18478000	0.31
2011	18421000	0.30
2010	18365000	0.31
2009	18309000	0.30
2008	18254000	0.31
2007	18198000	0.31
2006	18142000	0.30
2005	18087000	0.31
